"trip_id","H","S","D"
1638,16:28:00,20:48:00,22:57:00
1638,16:44:00,21:00:00,23:15:00
1638,16:54:00,21:12:00,23:51:00
1638,17:08:00,21:24:00,00:27:00
1638,17:16:00,21:46:00,01:03:00
1638,17:25:00,22:08:00,
1638,17:33:00,22:30:00,
1638,17:42:00,22:50:00,
1638,17:50:00,23:10:00,
1638,17:59:00,23:30:00,
1638,18:07:00,23:50:00,
1638,18:16:00,00:10:00,
1638,18:24:00,00:50:00,
1638,18:33:00,,
1638,18:41:00,,
1638,18:50:00,,
1638,18:58:00,,
1638,19:07:00,,
1638,19:16:00,,
1638,19:25:00,,
1638,19:34:00,,
1638,19:43:00,,
1638,19:52:00,,
1638,20:01:00,,
1638,20:10:00,,
1638,20:19:00,,
1638,20:28:00,,
1638,20:37:00,,
1638,20:46:00,,
1638,20:58:00,,
1638,21:13:00,,
1638,21:22:00,,
1638,21:36:00,,
1638,21:48:00,,
1638,22:00:00,,
1638,22:12:00,,
1638,22:33:00,,
1638,22:48:00,,
1638,23:00:00,,
1638,23:20:00,,
1638,23:40:00,,
1638,00:00:00,,
1638,00:18:00,,
1638,00:55:00,,
1642,05:20:00,05:42:00,06:14:00
1642,05:46:00,06:12:00,06:39:00
1642,05:56:00,06:42:00,07:04:00
1642,06:16:00,06:58:00,07:30:00
1642,06:26:00,07:12:00,07:57:00
1642,06:35:00,07:32:00,08:27:00
1642,06:44:00,07:44:00,08:42:00
1642,06:53:00,07:56:00,08:57:00
1642,07:02:00,08:07:00,09:12:00
1642,07:10:00,08:18:00,09:27:00
1642,07:18:00,08:29:00,09:42:00
1642,07:26:00,08:40:00,09:57:00
1642,07:34:00,08:51:00,10:12:00
1642,07:42:00,09:02:00,10:27:00
1642,07:50:00,09:13:00,10:42:00
1642,07:58:00,09:24:00,10:57:00
1642,08:06:00,09:35:00,11:12:00
1642,08:14:00,09:46:00,11:27:00
1642,08:22:00,09:57:00,11:42:00
1642,08:30:00,10:08:00,11:57:00
1642,08:38:00,10:19:00,12:12:00
1642,08:46:00,10:30:00,12:27:00
1642,08:54:00,10:41:00,12:42:00
1642,09:02:00,10:52:00,12:57:00
1642,09:10:00,11:03:00,13:12:00
1642,09:18:00,11:14:00,13:27:00
1642,09:26:00,11:25:00,13:42:00
1642,09:34:00,11:36:00,13:57:00
1642,09:42:00,11:47:00,14:12:00
1642,09:50:00,11:58:00,14:27:00
1642,09:58:00,12:09:00,14:42:00
1642,10:06:00,12:20:00,14:57:00
1642,10:14:00,12:31:00,15:12:00
1642,10:22:00,12:42:00,15:27:00
1642,10:30:00,12:53:00,15:42:00
1642,10:38:00,13:04:00,15:57:00
1642,10:46:00,13:15:00,16:12:00
1642,10:54:00,13:26:00,16:27:00
1642,11:02:00,13:37:00,16:42:00
1642,11:10:00,13:48:00,16:57:00
1642,11:18:00,13:59:00,17:12:00
1642,11:26:00,14:10:00,17:27:00
1642,11:34:00,14:21:00,17:42:00
1642,11:42:00,14:32:00,17:57:00
1642,11:50:00,14:43:00,18:12:00
1642,11:58:00,14:54:00,18:27:00
1642,12:06:00,15:05:00,18:42:00
