"ID-recorrido","id-linea","nombre-linea","ida-vuelta","activo","route-trip","codigo-de-sub-ramal","descripcion","destino"
2333,3318,"G-01-017",1,1,17172,17172,"017-B.Aler-Luj-Maipu","017 - Lujan - Cementerio Lujan - B. Los Alerces"
2334,3318,"G-01-017",0,1,17172,17172,"017-B.Aler-Luj-Maipu","017 - Lujan - B. Los Alerces"
2338,3318,"G-01-017",1,1,17173,17173,"017-B.Aler-Luj-Maipu","017-Lujan - Maipu"
2339,3318,"G-01-017",0,1,17173,17173,"017-B.Aler-Luj-Maipu","017-Maipu - Lujan"
2336,3319,"G-01-018",0,1,18181,18181,"018-Exp. Roca C.Gob.","018 - Expreso Roca - Casa de Gobierno"
3032,3319,"G-01-018",1,1,18181,18181,"018-Exp. Roca C.Gob","018 - Expreso Roca por Casa de Gobierno"
2337,3319,"G-01-018",1,1,18182,18182,"018-Exp. Roca CGob.","018 - Expreso Roca"
3036,3319,"G-01-018",0,1,18182,18182,"018-Exp. Roca C.Gob.","018-Expreso Roca"
2340,3321,"G-01-019A",1,1,19189,19189,"019A-Luj.Ctro.Drumm.","019 - Lujan - Mendoza por Drummond - B. 27 de Abril"
2341,3321,"G-01-019A",0,1,19189,19189,"019A-Luj.Ctro.Drumm.","019 - Centro - Lujan por Drummond - B. 27 de Abril"
2342,3322,"G-01-019B",1,1,19190,19190,"019B-Lj.Huen.Ctro.Lb","019 - Lujan - Mendoza por Av. Libertad - B. Las Parras"
2343,3322,"G-01-019B",0,1,19190,19190,"019B-Lj.Huen.Ctro.Lb","019 - Centro - Lujan por Av. Libertad - B. Las Parras"
2345,3322,"G-01-019B",1,1,19191,19191,"019B-Lj.Huen.Ctro.Lb","019 - Lujan - Centro por Av. Libertad"
2346,3322,"G-01-019B",0,1,19191,19191,"019B-Lj.Huen.Ctro.Lb","019 - Centro - Lujan por Av. Libertad"
2347,3322,"G-01-019B",1,1,19192,19192,"019B-Lj.Huen.Ctro.Lb","019 - Luján - Centro por Av. Libertad - B. Huentota"
2348,3322,"G-01-019B",0,1,19192,19192,"019B-Lj.Huen.Ctro.Lb","019 - Centro - Lujan por Av. Libertad"
