"stop_id","stop_name","cliente","tipo","calle","numero","entre","EsCartelInt","Activo","stop_lat","stop_lon"
"M5470","25511","Sec.Trans. Mendoza","Poste","Martí",1999,"LUGONES","No","Si",-32.9584607434,-68.854255056
"M5471","25512","Sec.Trans. Mendoza","Poste","Braile",399,"FRIAS","No","Si",-32.9578358718,-68.8565367951
"M5472","25513","Sec.Trans. Mendoza","Poste","Medrano",300,"CARRODILLA","No","Si",-32.9585273824,-68.8584580994
"M5473","25514","Sec.Trans. Mendoza","Poste","Medrano",300,"FRIAS","No","Si",-32.9581813602,-68.8583226478
"M5474","25515","Sec.Trans. Mendoza","Poste","Braile",,"GUIRALDES","No","Si",-32.9574814073,-68.8562907024
"M5475","25516","Sec.Trans. Mendoza","Poste","Braile",,"HUMAUACA","No","Si",-32.9562655267,-68.8558756306
"M5476","25517","Sec.Trans. Mendoza","Poste","Braile",,"LUGONES","No","Si",-32.9560446686,-68.8555222496
"M5477","25518","Sec.Trans. Mendoza","Poste","Avenida San Martín Sur",,"SAN MARTIN","No","Si",-32.9556988905,-68.8575214829
"M5478","25519","Sec.Trans. Mendoza","Poste","Humahuaca",,"SAN MARTIN","No","Si",-32.9556803229,-68.857200959
"M5479","25520","Sec.Trans. Mendoza","Poste","San Martín",299,"CARRODILLA","No","Si",-32.958911532,-68.852412567
"M5480","34401","Sec.Trans. Mendoza","Poste","Santa Fe",1,"SANTA FE","No","Si",-33.0174584301,-68.8721875437
"M5481","34402","Sec.Trans. Mendoza","Poste","San Martín",,"SANTA FE","No","Si",-33.0052807,-68.8676298
"M5482","34403","Sec.Trans. Mendoza","Poste","San Martín",,"VILLANUEVA","No","Si",-33.0211153007,-68.8733261414
"M5483","34404","Sec.Trans. Mendoza","Poste","San Martín",1,"ALBERTI","No","Si",-33.0221914173,-68.8736406304
"M5484","34405","Sec.Trans. Mendoza","Poste","Villanueva S.",,"PATRICIOS","No","Si",-33.0207460393,-68.8762140438
"M5485","34406","Sec.Trans. Mendoza","Poste","Guiñazú",,"ALBERTI","No","Si",-33.0217210914,-68.8778607323
"M5486","34407","Sec.Trans. Mendoza","Poste","Alberti",2,"SAN MARTIN","No","Si",-33.0222063545,-68.8736666492
"M5487","34408","Sec.Trans. Mendoza","Poste","Alberti",352,"GUIÑAZU","No","Si",-33.0217395,-68.8778884043
"M5488","34409","Sec.Trans. Mendoza","Poste","Alberti",401,"NORTON","No","Si",-33.0213065789,-68.8799221893
"M5489","34410","Sec.Trans. Mendoza","Poste","Alberti",502,"NORTON","No","Si",-33.021299832,-68.8800381948
"M5490","34411","Sec.Trans. Mendoza","Poste","San Martín",1902,"ABDON ZGAIB","No","Si",-33.0253409788,-68.8748006858
"M5491","34412","Sec.Trans. Mendoza","Poste","Chile",2001,"PARANA","No","Si",-33.0219056869,-68.8827778618
"M5492","34413","Sec.Trans. Mendoza","Poste","San Martín",1702,"MORETTI","No","Si",-33.0272429176,-68.8755423166
"M5493","34414","Sec.Trans. Mendoza","Poste","San Martín",1602,"IRIGOYEN","No","Si",-33.0281547992,-68.8759231903
"M5494","34415","Sec.Trans. Mendoza","Poste","Guevara",1502,"GAVIOLA","No","Si",-33.0261360428,-68.8849564854
"M5495","34416","Sec.Trans. Mendoza","Poste","Guevara",1651,"RIO GALLEGOS","No","Si",-33.0244578425,-68.8846386436
"M5496","34417","Sec.Trans. Mendoza","Poste","Guevara",1614,"Leiry","No","Si",-33.0243442747,-68.8848538909
"M5497","34501","Sec.Trans. Mendoza","Poste","San Martín",,"SAN MARTIN","No","Si",-33.014351871,-68.8707602574
"M5498","34502","Sec.Trans. Mendoza","Poste","San Martín",,"SANTA FE","No","Si",-33.0176799607,-68.8721674271
"M5499","34503","Sec.Trans. Mendoza","Poste","San Martín",,"SANTA FE","No","Si",-33.0198929872,-68.8729774542
"M5500","34504","Sec.Trans. Mendoza","Poste","San Martín",,"VILLANUEVA","No","Si",-33.0200234281,-68.8730129935
"M5501","34505","Sec.Trans. Mendoza","Poste","Anchorena",,"SAN MARTIN","No","Si",-33.0221972865,-68.8736156483
"M5502","34506","Sec.Trans. Mendoza","Poste","San Martín",1901,"SAN MARTIN","No","Si",-33.0225402467,-68.8735734036
"M5503","34507","Sec.Trans. Mendoza","Poste","San Martín",1801,"RIOJA","No","Si",-33.0257317145,-68.8748570122
"M5504","34508","Sec.Trans. Mendoza","Poste","San Martín",1601,"C. DE TUCUMAN","No","Si",-33.0275847338,-68.8755040951
"M5505","30468","Sec.Trans. Mendoza","Poste","Los Baños",,"Acceso Este","No","Si",-32.9894168325,-68.6651161256
"M5506","34510","Sec.Trans. Mendoza","Poste","San Martín",1501,"J.N.LENCINAS","No","Si",-33.0282025856,-68.8759164848
"M5507","34511","Sec.Trans. Mendoza","Poste","Lencinas JN",1,"SANTA MARIA DE ORO","No","Si",-33.0284859295,-68.8749208186
"M5508","34512","Sec.Trans. Mendoza","Poste","Lencinas JN",102,"SANTA MARIA DE ORO","No","Si",-33.028490427,-68.8748604689
"M5509","34513","Sec.Trans. Mendoza","Poste","Lencinas JN",201,"ESTRADA","No","Si",-33.0290329395,-68.8731103275
"M5510","34514","Sec.Trans. Mendoza","Poste","Lencinas JN",302,"ESTRADA","No","Si",-33.0290475563,-68.8729252551
"M5511","34515","Sec.Trans. Mendoza","Poste","Libertad",1501,"LIBERTAD","No","Si",-33.0297407304,-68.8712663088
"M5512","34516","Sec.Trans. Mendoza","Poste","Libertad",1501,"LENCINAS","No","Si",-33.0295854442,-68.8712745127
"M5513","34517","Sec.Trans. Mendoza","Poste","Libertad",1451,"PELLEGRINI","No","Si",-33.0304742523,-68.8716004011
"M5514","34518","Sec.Trans. Mendoza","Poste","Libertad",1252,"VERGARA","No","Si",-33.0328893364,-68.8729374823
"M5515","34519","Sec.Trans. Mendoza","Poste","Libertad",1102,"ROCA","No","Si",-33.0345235282,-68.8735724953
"M5516","34520","Sec.Trans. Mendoza","Poste","Ricchieri",502,"LIBERTAD","No","Si",-33.0317334188,-68.8720959995
"M5517","34521","Sec.Trans. Mendoza","Poste","Ricchieri",501,"C.W. LENCINAS","No","Si",-33.0319037561,-68.8715394411
"M5518","34522","Sec.Trans. Mendoza","Poste","Libertad",1251,"Richieri","No","Si",-33.0317644416,-68.8721355018
"M5519","34523","Sec.Trans. Mendoza","Poste","Libertad",1101,"VERGARA","No","Si",-33.0332867845,-68.8727644798
"M5520","34524","Sec.Trans. Mendoza","Poste","Libertad",901,"ROCA","No","Si",-33.034786053,-68.8733981517
"M5521","30469","Sec.Trans. Mendoza","Poste","Los Baños",,"Ruta 50","No","Si",-32.9940437689,-68.6751500485
"M5522","34526","Sec.Trans. Mendoza","Poste","Cabral Sargento",,"SARMIENTO","No","Si",-33.0359302877,-68.8758084295
"M5523","34527","Sec.Trans. Mendoza","Poste","Libertad",902,"AZCUENAGA","No","Si",-33.0363505042,-68.8742651758
"M5524","34528","Sec.Trans. Mendoza","Poste","Azcuénaga",502,"LIBERTAD","No","Si",-33.0363599391,-68.8740167659
"M5525","34529","Sec.Trans. Mendoza","Poste","Azcuénaga",712,"DONADO","No","Si",-33.0363082222,-68.8721278202
"M5526","34530","Sec.Trans. Mendoza","Poste","Azcuénaga",902,"BUFANO","No","Si",-33.0363301457,-68.8692900431
"M5527","34531","Sec.Trans. Mendoza","Poste","Bufano",1002,"AZCUENAGA","No","Si",-33.0363087178,-68.8693131034
"M5528","34532","Sec.Trans. Mendoza","Poste","Independencia",1001,"INDEPENDENCIA","No","Si",-33.0344790837,-68.8659808135
