trip_id,id,nombre,codigo,descripcion,destino,ida-vuelta,activo,trip_headsign
2302,3331,G-01-016A,16162,016A-L.Ch.S EL.SMSur,016 - Centro - Chacras de Coria por Santa Elena - Lujan,0,1,LUJAN
2303,3333,G-01-016ESC,16163,016ES -Esc.S.Elena,016 - Escolar Santa Elena de las 07:15 hs,1,1,SANTA ELENA
2304,3333,G-01-016ESC,16163,016ES -Esc.S.Elena,016 - Escolar Santa Elena de las 07:15 hs,0,1,CONTROL LUJAN
2312,3333,G-01-016ESC,16164,016ES -Esc.S.Elena,016 - Escolar Santa Elena de las 12:20 hs,1,1,PLAZA CHACRAS DE CORIA
2313,3333,G-01-016ESC,16164,016ES -Esc.S.Elena,016 - Escolar Santa Elena de las 12:20,0,1,CONTROL LUJAN
2320,3333,G-01-016ESC,16165,016ES -Esc.S.Elena,016 - Escolar Santa Elena de las 17:40 hs,1,1,CHACRAS DE CORIA
2321,3333,G-01-016ESC,16165,016ES -Esc.S.Elena,016 - Escolar Santa Elena de las 17:40 hs,0,1,CONTROL LUJAN
2322,3332,G-01-016B,16167,016B-L.UNC.S.El.,016 - Santa Elena - Chacras Universidades,1,1,UNC-DAD
2323,3332,G-01-016B,16167,016B-L.UNC.S.El.,016 - Universidades - Chacras - Lujan,0,1,CONTROL LUJAN
2324,3332,G-01-016B,16168,016B-L.UNC.S.El.,016 - Lujan - Universidades,1,1,UNC-DAD
2325,3332,G-01-016B,16168,016B-L.UNC.S.El.,016 - Universidades - Chacras - S. Elena - Lujan,0,1,CONTROL LUJAN
2328,3318,G-01-017,17171,017-B.Aler-Luj-Maipu,017 - Carrodilla - B. Los Alerces - Lujan,1,1,LUJAN
2329,3318,G-01-017,17171,017-B.Aler-Luj-Maipu,017 - Lujan - B  Los Alerces - Carrodilla,0,1,CONTROL CARRODILLA
2333,3318,G-01-017,17172,017-B.Aler-Luj-Maipu,017 - Lujan - Cementerio Lujan - B. Los Alerces,1,1,CARRODILLA
2334,3318,G-01-017,17172,017-B.Aler-Luj-Maipu,017 - Lujan - B. Los Alerces,0,1,CARRODILLA
2338,3318,G-01-017,17173,017-B.Aler-Luj-Maipu,017-Lujan - Maipu,1,1,MAIPU
2339,3318,G-01-017,17173,017-B.Aler-Luj-Maipu,017-Maipu - Lujan,0,1,CONTROL LUJAN
2336,3319,G-01-018,18181,018-Exp. Roca C.Gob.,018 - Expreso Roca - Casa de Gobierno,0,1,CARRODILLA
3032,3319,G-01-018,18181,018-Exp. Roca C.Gob,018 - Expreso Roca por Casa de Gobierno,1,1,CENTRO
2337,3319,G-01-018,18182,018-Exp. Roca CGob.,018 - Expreso Roca,1,1,CENTRO
3036,3319,G-01-018,18182,018-Exp. Roca C.Gob.,018-Expreso Roca,0,1,CARRODILLA
2340,3321,G-01-019A,19189,019A-Luj.Ctro.Drumm.,019 - Lujan - Mendoza por Drummond - B. 27 de Abril,1,1,CENTRO
2341,3321,G-01-019A,19189,019A-Luj.Ctro.Drumm.,019 - Centro - Lujan por Drummond - B. 27 de Abril,0,1,CONTROL LUJAN
2342,3322,G-01-019B,19190,019B-Lj.Huen.Ctro.Lb,019 - Lujan - Mendoza por Av. Libertad - B. Las Parras,1,1,CENTRO
2343,3322,G-01-019B,19190,019B-Lj.Huen.Ctro.Lb,019 - Centro - Lujan por Av. Libertad - B. Las Parras,0,1,CONTROL LUJAN
2345,3322,G-01-019B,19191,019B-Lj.Huen.Ctro.Lb,019 - Lujan - Centro por Av. Libertad,1,1,CENTRO
2346,3322,G-01-019B,19191,019B-Lj.Huen.Ctro.Lb,019 - Centro - Lujan por Av. Libertad,0,1,CONTROL LUJAN
2347,3322,G-01-019B,19192,019B-Lj.Huen.Ctro.Lb,019 - Luján - Centro por Av. Libertad - B. Huentota,1,1,CENTRO
2348,3322,G-01-019B,19192,019B-Lj.Huen.Ctro.Lb,019 - Centro - Lujan por Av. Libertad,0,1,CONTROL LUJAN
2349,3323,G-01-019C,19193,019C-Lj.Ctro.Hue.SMt,019 - Lujan - Centro por Av. Libertad,1,1,CENTRO
2350,3323,G-01-019C,19193,019C-Lj.Ctro.Hue.SMt,019 - Centro - B. Huentota - Lujan por Av. Libertad,0,1,CONTROL LUJAN
2351,3321,G-01-019A,19194,019A-Luj.Ctro.Drumm.,019 - Lujan - Centro por Drummond,1,1,CENTRO
2352,3321,G-01-019A,19194,019A-Luj.Ctro.Drumm.,019 - Centro - Lujan por Drummond,0,1,CONTROL LUJAN
2353,3324,G-01-019EXP,19195,019EX-Exp.xS.Mt/Drm,019 - Expreso Drummond,1,1,CENTRO
2354,3324,G-01-019EXP,19195,019EX-Exp.xS.Mt/Drm,019 - Expreso por Drummond,0,1,CONTROL LUJAN
2355,3323,G-01-019C,19196,019C-Lj.Ctro.Hue.SMt,019 - Lujan - Mendoza por San Martin,1,1,CENTRO
2356,3323,G-01-019C,19196,019C-Lj.Ctro.Hue.SMt,019 - Centro - Lujan por San Martin,0,1,CONTROL LUJAN
2357,3324,G-01-019EXP,19197,019EX-Exp.xS.Mt/Drm,019 - Expreso por San Martin,1,1,CENTRO
2358,3324,G-01-019EXP,19197,019EX-Exp.xS.Mt/Drm,019 - Expreso por San Martin,0,1,CONTROL LUJAN
