trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id,card_code,active
3324,13,,C Centro-C.Seg.,NULL,0,3324,163,True
3326,13,,C Centro-C.Seg.,NULL,0,3326,165,True
3328,13,,D-Colonia H.Sauce,NULL,0,3328,166,True
3330,13,,D-Colonia H.Sauce,NULL,0,3330,167,True
3332,13,,D-Colonia H.Sauce,NULL,0,3332,168,True
2715,13,,F Mun-B Carmen,NULL,1,2715,179,True
2499,13,,F Mun-B Carmen,NULL,1,2499,180,True
2708,13,,F Mun-B Carmen,NULL,1,2708,181,True
2818,13,,G C.Seg-Hs-Carmen,NULL,0,2818,182,True
2724,13,,G C.Seg-Hs-Carmen,NULL,0,2724,183,True
2508,13,,G C.Seg-Hs-Carmen,NULL,0,2508,184,True
2510,13,,H C.Molina-Centro,NULL,0,2510,185,True
2862,13,,H C.Molina-Centro,NULL,1,2862,185,True
2822,13,,H C.Molina-Centro,NULL,0,2822,186,True
2824,13,,H C.Molina-Centro,NULL,1,2824,186,True
3194,13,,H C.Molina-Ctro,NULL,1,3194,187,True
2878,13,,I Berm-Ctro-Gob,NULL,1,2878,211,True
2879,13,,I Berm-Ctro-Gob,NULL,0,2879,211,True
2886,13,,I Berm-Ctro-Gob,NULL,1,2886,212,True
2888,13,,I Berm-Ctro-Gob,NULL,0,2888,212,True
3198,13,,I Berm-Ctro-Gob,NULL,1,3198,213,True
3221,13,,I Berm-Ctro-Gob,NULL,0,3221,213,True
3222,13,,J-Centroxcalle 7,NULL,1,3222,214,True
3223,13,,J-Centroxcalle 7,NULL,0,3223,214,True
3255,13,,J-Centroxcalle 7,NULL,1,3255,215,True
3256,13,,J-Centroxcalle 7,NULL,0,3256,215,True
3319,14,,A Col-Alam-C.Gob,NULL,1,3319,160,True
2803,14,,A Col-Alam-C.Gob,NULL,1,2803,164,True
2804,14,,A Col-Alam-C.Gob,NULL,0,2804,164,True
3325,14,,A Col-Alam-C.Gob,NULL,1,3325,165,True
3327,14,,B Alam-Gob-Ctro,NULL,1,3327,166,True
3329,14,,B Alam-Gob-Ctro,NULL,1,3329,167,True
3331,14,,B Alam-Gob-Ctro,NULL,1,3331,168,True
3334,14,,C Ala-E Poug-Car,NULL,0,3334,169,True
3336,14,,C Ala-E Poug-Car,NULL,0,3336,170,True
2802,14,,C Ala-E Poug-Car,Termina en B  El Carmen y vuelve al Control VN sin trabajar.,0,2802,171,True
3338,14,,D-Alam-El Carmen,NULL,0,3338,172,True
3340,14,,D-Alam-El Carmen,NULL,0,3340,173,True
2111,15,,M.Hoyos Vandor,061 MATHUS HOYOS VANDOR,1,2111,111,True
2112,15,,M.Hoyos Vandor,061 MATHUS HOYOS VANDOR,0,2112,111,True
2125,15,,Vand S.Y Sierr,061 Centro Vandor Sol y Sierra,1,2125,112,True
2132,15,,S Y Sierra Vando,061 MATHUS HOYOS SOL Y SIERRA VANDOR CENTRO CONTROL,0,2132,112,True
2128,15,,61 Bajada Vandor,61 BAJADA VANDOR CENTRO CONTROL,0,2128,113,True
2131,15,,61Bajada Sol Y Sier,61 MATHUS HOYOS BAJADA SOL Y SIERRA VANDOR CENTRO CONTROL,0,2131,114,True
2189,15,,Borboll Sy Sierr,BORBOLLON VANDOR SOL Y SIERRAS POR BELTRAN JUAN B JUSTO,1,2189,193,True
2190,15,,S.Y Sierr Borb,SOL Y SIERRAS EL BORBOLLON ,0,2190,193,True
1639,16,,A M.Hoyos Belg,NULL,0,1639,121,True
