stop_id,stop_code,stop_desc,stop_name,stop_lat,stop_lon,stop_calle,stop_numero,stop_entre,stop_esquina
9368,M9368,,Tirasso,-32.8980753834,-68.7594346889,Tirasso,,ROPOLO,
9369,M9369,,Las Viñas,-32.8980551146,-68.7592348643,Las Viñas,,ROPOLO,
9370,M9370,,Tirasso,-32.9012395062,-68.7600100227,Tirasso,,JULIO ARGENTINO ROCA,
9371,M9371,,Tirasso,-32.9096390844,-68.7646368333,Tirasso,,BENAVENTE,
9373,M9373,,Profesor Mathus 502,-32.8786310008,-68.7593797036,Profesor Mathus,502,PAZ HERRERO,
9374,M9374,,Profesor Mathus,-32.8782210304,-68.7619975396,Profesor Mathus,,PETROLEROS,
9375,M9375,,Profesor Mathus,-32.8772073593,-68.7668898888,Profesor Mathus,,VIRGEN D CARMEN,
9376,M9376,,Profesor Mathus 1000,-32.8765405826,-68.7697759457,Profesor Mathus,1000,VIRGEN D CARMEN,
9378,M9378,,Avenida Bartolomé Mitre 3900,-32.8570171218,-68.8376492449,Avenida Bartolomé Mitre,3900,JUAN B JUSTO,
9379,M9379,,Avenida Bartolomé Mitre 4001,-32.8577696635,-68.8374319859,Avenida Bartolomé Mitre,4001,CIRCUNVALACION,
9380,M9380,,Avenida Mathus Hoyos,-32.8628209905,-68.7491873093,Avenida Mathus Hoyos,,TIRASSO,
9400,M9400,,Alberdi 102,-32.8946329653,-68.8290717368,Alberdi,102,Guemes,
9412,M9412,,Progreso,-32.8913256278,-68.9120939561,Progreso,,FUENTEALBA,
9416,M9416,,Gran Capitán Sur 799,-32.8725127846,-68.8690284081,Gran Capitán Sur,799,DEL CASTILLO,
9417,M9417,,Del Castillo 799,-32.8732246459,-68.8691142388,Del Castillo,799,ASCASUBI,
9418,M9418,,Gran Capitán Sur 999,-32.8736301339,-68.870348055,Gran Capitán Sur,999,ASCASUBI,
9419,M9419,,Ingenieros J. 1400,-32.8813385596,-68.8737249561,Ingenieros J.,1400,LENCINAS,
9420,M9420,,Avenida Champagnat,-32.8819152004,-68.8824019023,Avenida Champagnat,,CHAMPAGNAT,
9421,M9421,,Chile 1201,-32.887899493,-68.845312316,Chile,1201,ESPEJO,
9422,M9422,,Avenida Godoy Cruz 2,-32.8839296816,-68.8387409039,Avenida Godoy Cruz,2,9 DE JULIO,
9869,M9869,,Ampere 202,-32.9289217195,-68.8331901679,Ampere,202,San Juan,
9423,M9423,,Avenida Pedro Molina 2,-32.8965814326,-68.8419528492,Avenida Pedro Molina,2,SAN MARTIN,
9424,M9424,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9425,M9425,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9426,M9426,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9427,M9427,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9428,M9428,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9429,M9429,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9430,M9430,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9431,M9431,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9432,M9432,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9433,M9433,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9434,M9434,,Anzorena 1,-32.9158432572,-68.8466158696,Anzorena,1,X,
9435,M9435,,Irigoyen H. 1177,-32.9472842969,-68.8082012721,Irigoyen H.,1177,Lista R,
9436,M9436,,Alta Italia 2599,-32.9548164876,-68.7954071351,Alta Italia,2599,X,
9437,M9437,,Cicciu 702,-32.9162028113,-68.7562576123,Cicciu,702,X,
9438,M9438,,Tirasso 702,-32.8843884061,-68.7574485131,Tirasso,702,X,
9439,M9439,,Tirasso 702,-32.8853524422,-68.7566170283,Tirasso,702,X,
9440,M9440,,Tirasso 702,-32.8832621826,-68.7583872863,Tirasso,702,X,
9441,M9441,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
