"trip_id","service_id","start_time"
"1638","H","05:20:00"
"1638","S","05:46:00"
"1638","D","06:00:00"
"1638","H","05:40:00"
"1638","S","06:10:00"
"1638","D","06:35:00"
"1638","H","06:00:00"
"1638","S","06:28:00"
"1638","D","07:14:00"
"1638","H","06:20:00"
"1638","S","06:52:00"
"1638","D","07:53:00"
"1638","H","06:31:00"
"1638","S","07:12:00"
"1638","D","08:13:00"
"1638","H","06:42:00"
"1638","S","07:28:00"
"1638","D","08:32:00"
"1638","H","06:53:00"
"1638","S","07:36:00"
"1638","D","08:50:00"
"1638","H","07:04:00"
"1638","S","07:52:00"
"1638","D","09:11:00"
"1638","H","07:10:00"
"1638","S","08:00:00"
"1638","D","09:27:00"
"1638","H","07:15:00"
"1638","S","08:12:00"
"1638","D","09:50:00"
"1638","H","07:28:00"
"1638","S","08:24:00"
"1638","D","10:04:00"
"1638","H","07:40:00"
"1638","S","08:36:00"
"1638","D","10:16:00"
"1638","H","07:48:00"
"1638","S","08:48:00"
"1638","D","10:29:00"
"1638","H","07:57:00"
"1638","S","09:00:00"
"1638","D","10:42:00"
"1638","H","08:05:00"
"1638","S","09:12:00"
"1638","D","10:55:00"
"1638","H","08:14:00"
"1638","S","09:24:00"
"1638","D","11:08:00"
"1638","H","08:22:00"
"1638","S","09:36:00"
"1638","D","11:21:00"
"1638","H","08:31:00"
"1638","S","09:48:00"
"1638","D","11:34:00"
"1638","H","08:39:00"
"1638","S","10:00:00"
"1638","D","11:47:00"
"1638","H","08:48:00"
"1638","S","10:12:00"
"1638","D","12:00:00"
"1638","H","08:56:00"
"1638","S","10:24:00"
"1638","D","12:13:00"
"1638","H","09:05:00"
"1638","S","10:36:00"
"1638","D","12:26:00"
"1638","H","09:13:00"
"1638","S","10:48:00"
"1638","D","12:39:00"
"1638","H","09:22:00"
"1638","S","11:00:00"
"1638","D","12:52:00"
"1638","H","09:30:00"
"1638","S","11:12:00"
"1638","D","13:05:00"
"1638","H","09:39:00"
"1638","S","11:24:00"
"1638","D","13:18:00"
"1638","H","09:47:00"
"1638","S","11:36:00"
"1638","D","13:31:00"
"1638","H","09:56:00"
"1638","S","11:48:00"
"1638","D","13:44:00"
"1638","H","10:04:00"
"1638","S","12:00:00"
"1638","D","13:57:00"
"1638","H","10:13:00"
"1638","S","12:12:00"
"1638","D","14:10:00"
"1638","H","10:21:00"
"1638","S","12:24:00"
"1638","D","14:23:00"
"1638","H","10:30:00"
"1638","S","12:36:00"
"1638","D","14:36:00"
"1638","H","10:38:00"
"1638","S","12:48:00"
"1638","D","14:49:00"
"1638","H","10:47:00"
"1638","S","13:00:00"
"1638","D","15:02:00"
"1638","H","10:55:00"
"1638","S","13:12:00"
"1638","D","15:15:00"
"1638","H","11:04:00"
"1638","S","13:24:00"
"1638","D","15:28:00"
"1638","H","11:12:00"
"1638","S","13:36:00"
"1638","D","15:41:00"
"1638","H","11:21:00"
"1638","S","13:48:00"
"1638","D","15:54:00"
"1638","H","11:29:00"
"1638","S","14:00:00"
"1638","D","16:07:00"
"1638","H","11:38:00"
"1638","S","14:12:00"
"1638","D","16:20:00"
"1638","H","11:47:00"
"1638","S","14:24:00"
"1638","D","16:33:00"
"1638","H","11:56:00"
"1638","S","14:36:00"
"1638","D","16:46:00"
"1638","H","12:05:00"
"1638","S","14:48:00"
"1638","D","16:59:00"
"1638","H","12:14:00"
"1638","S","15:00:00"
"1638","D","17:12:00"
"1638","H","12:23:00"
"1638","S","15:12:00"
"1638","D","17:25:00"
"1638","H","12:32:00"
"1638","S","15:36:00"
"1638","D","17:38:00"
"1638","H","12:41:00"
"1638","S","16:00:00"
"1638","D","17:51:00"
"1638","H","12:50:00"
"1638","S","16:24:00"
"1638","D","18:04:00"
"1638","H","12:59:00"
"1638","S","16:48:00"
"1638","D","18:17:00"
"1638","H","13:08:00"
"1638","S","17:00:00"
"1638","D","18:30:00"
"1638","H","13:17:00"
"1638","S","17:12:00"
"1638","D","18:43:00"
"1638","H","13:26:00"
"1638","S","17:36:00"
"1638","D","18:56:00"
"1638","H","13:35:00"
"1638","S","17:48:00"
"1638","D","19:09:00"
"1638","H","13:44:00"
"1638","S","18:00:00"
"1638","D","19:22:00"
"1638","H","13:53:00"
"1638","S","18:10:00"
"1638","D","19:35:00"
"1638","H","14:05:00"
"1638","S","18:24:00"
"1638","D","19:48:00"
"1638","H","14:20:00"
"1638","S","18:36:00"
"1638","D","20:01:00"
"1638","H","14:32:00"
"1638","S","18:48:00"
"1638","D","20:14:00"
"1638","H","14:44:00"
"1638","S","19:00:00"
"1638","D","20:27:00"
"1638","H","14:56:00"
"1638","S","19:12:00"
"1638","D","20:40:00"
"1638","H","15:08:00"
"1638","S","19:24:00"
"1638","D","20:53:00"
"1638","H","15:20:00"
"1638","S","19:36:00"
"1638","D","21:06:00"
"1638","H","15:32:00"
"1638","S","19:48:00"
"1638","D","21:19:00"
"1638","H","15:44:00"
"1638","S","20:00:00"
"1638","D","21:45:00"
"1638","H","15:56:00"
"1638","S","20:12:00"
"1638","D","21:58:00"
"1638","H","16:08:00"
"1638","S","20:24:00"
"1638","D","22:21:00"
"1638","H","16:20:00"
"1638","S","20:36:00"
"1638","D","22:39:00"
"1638","H","16:28:00"
"1638","S","20:48:00"
