"stop_lat","stop_entre","stop_lon","stop_numero","stop_calle","stop_id","stop_name"
-32.9678749428,"RIO MENDOZA",-68.7782982324,"","Correa","M2709","29306"
-32.9688802624,"RUIZ",-68.7743185047,"","Correa","M2710","29307"
-32.9720526032,"BOEDO",-68.7725545456,"","Ruta 7","M2711","29308"
-32.9720700423,"RUIZ",-68.7725739916,"","Ruta 7","M2712","29309"
-32.974431061,"RUTA 7",-68.7788610408,"","Boedo M.","M2713","29310"
-32.9744005885,"RUTA 7",-68.7788744387,"","Boedo M.","M2714","29311"
-32.9767800554,"OLMEDO",-68.7799768431,"452","Lorca","M2715","29312"
-32.9763340862,"GODOY CRUZ",-68.7808957117,"402","Lorca","M2716","29313"
-32.9767632904,"OLMEDO",-68.7800427692,"401","Lorca","M2717","29314"
-32.9763725855,"LORCA",-68.7809461391,"1101","Godoy Cruz ","M2718","29315"
-32.9777597563,"FALUCHO ",-68.7818024343,"902","Godoy Cruz T.","M2719","29316"
-32.9815043337,"MOYANO",-68.772591058,"402","DR. VIANI.","M2720","29317"
-32.9812978995,"Longo",-68.7731610274,"101","Longo","M2721","29318"
-32.9814922734,"DR. VIANI",-68.7726269211,"","Moyano L.","M2722","29319"
-32.9826248073,"MOLINA",-68.7735874986,"201","Zanichelli","M2723","29320"
-32.9826594883,"ZICHINELLI",-68.7731524895,"","Longo","M2724","29321"
-32.9814045799,"MOYANO",-68.7732342969,"","Longo","M2725","29322"
-32.9810952117,"CALORI",-68.774849603,"","Moyano L.","M2726","29323"
-32.9811447111,"CALORI",-68.7744378839,"","Moyano L.","M2727","29324"
-32.9808572769,"BAZAN",-68.7765648756,"","Moyano L.","M2728","29325"
-32.982480464,"CALORI",-68.7746952336,"","Zanichelli","M2729","29326"
-32.9822920316,"BAZAN",-68.7764835965,"","Zanichelli","M2730","29327"
-32.9808930886,"MOYANO",-68.7766030123,"","Bazán","M2731","29328"
-32.9822571265,"ZANICHELLI",-68.7765963068,"","Bazán","M2732","29329"
-32.9811278194,"ROSELLO",-68.7795325612,"602","Barcala Cnel.","M2733","29330"
-32.9706921001,"T. DE SAN MARTIN",-68.7903072232,"202","Martínez B.","M2734","29801"
-32.9707834243,"J.B.MARTINEZ",-68.7900317855,"152","Infantería M. de San Martín","M2735","29802"
-32.9725414024,"HERRERO P.",-68.7905695684,"","Infantería M. de San Martín","M2736","29803"
-32.971607499,"J. A.MAZA",-68.7934442442,"401","Herrero P.","M2737","29804"
-32.9716312689,"HERRERO P.",-68.7935034681,"1","Maza JA","M2738","29805"
-32.9721340473,"PADRE VERA",-68.7918738108,"302","Herrero P.","M2739","29806"
-32.972584156,"HERRERO",-68.7905688979,"951","Infantería M. de San Martín","M2741","29808"
-32.9738283516,"SANCHEZ",-68.7861655131,"901","Vázquez","M2743","29810"
