"trip_headsign","direction_id","trip_short_name","trip_id","route_id","shape_id"
"053C BELGNO-H.L-UNC","1","NULL","2608","053","2608"
"053C BELGNO-H.L-UNC","1","NULL","2612","053","2612"
"053C BELGNO-H.L-UNC","0","NULL","2613","053","2613"
"053D BEL-H.L-UNC-LIC","1","NULL","2642","053","2642"
"053D BEL-H.L-UNC-LIC","0","NULL","2646","053","2646"
"054A MUN-BERM.CTRO","1","NULL","2655","054","2655"
"054A MUN-BERM.CTRO","0","NULL","2660","054","2660"
"054A MUN-BERM.CTRO","1","NULL","2453","054","2453"
"054A MUN-BERM.CTRO","0","NULL","2454","054","2454"
"054A MUN-BERM.CTRO","1","NULL","2669","054","2669"
"054A MUN-BERM.CTRO","0","NULL","2670","054","2670"
"054B MN-ESC-BERM-GOB","1","NULL","2457","054","2457"
"054B MN-ESC-BERM-GOB","0","NULL","2458","054","2458"
"054B MN-ESC-BERM-GOB","1","NULL","2672","054","2672"
"054B MN-ESC-BERM-GOB","0","NULL","2673","054","2673"
"054B MN-ESC-BERM-GOB","1","NULL","2461","054","2461"
"054B MN-ESC-BERM-GOB","0","NULL","2674","054","2674"
"054C BERM-CTRO-GOB","1","NULL","2690","054","2690"
"054C BERM-CTRO-GOB","0","NULL","2679","054","2679"
"054C BERM-CTRO-GOB","1","NULL","2687","054","2687"
"054C BERM-CTRO-GOB","1","NULL","2678","054","2678"
"054D CTRO-H.LAGO.UNC","1","NULL","3317","054","3317"
"054D CTRO-H.LAGO.UNC","1","NULL","3266","054","3266"
"054D CTRO-H.LAGO.UNC","1","NULL","3321","054","3321"
"054F CARMEN-CENTRO","1","NULL","2469","054","2469"
"054F CARMEN-CENTRO","1","NULL","3323","054","3323"
"054F CARMEN-CENTRO","1","NULL","3333","054","3333"
"054G COL.HS.GOB.CTRO","1","NULL","3335","054","3335"
"054G COL.HS.GOB.CTRO","1","NULL","2799","054","2799"
"054G COL.HS.GOB.CTRO","1","NULL","3337","054","3337"
"054H C.SEG.-CENTRO","1","NULL","3339","054","3339"
"054H C.SEG.-CENTRO","1","NULL","3259","054","3259"
"054H C.SEG.-CENTRO","0","NULL","3264","054","3264"
"054H C.SEG.-CENTRO","1","NULL","3341","054","3341"
"054H C.SEG.-CENTRO","0","NULL","3342","054","3342"
"054I C.SEGOVIA-CTRO","1","NULL","3343","054","3343"
"054I C.SEGOVIA-CTRO","0","NULL","3344","054","3344"
"054I C.SEGOVIA-CTRO","1","NULL","3345","054","3345"
"054I C.SEGOVIA-CTRO","0","NULL","3346","054","3346"
"054I C.SEGOVIA-CTRO","1","NULL","2689","054","2689"
"054I C.SEGOVIA-CTRO","0","NULL","2805","054","2805"
"054J BERM-ESC.CART ","0","NULL","3195","054","3195"
"054J BERM-ESC.CART ","1","NULL","2517","054","2517"
"054J BERM-ESC.CART ","0","NULL","2522","054","2522"
"054J BERM-ESC.CART ","1","NULL","2523","054","2523"
"054J BERM-ESC.CART ","0","NULL","2524","054","2524"
"054K-M.C.NIEVE.CTRO","1","54 NOTTIX TIRASSO","2968","054","2968"
"054K-MC.NIEVE.CTRO","0","NULL","3314","054","3314"
"054K-M.C.NIEVE.CTRO","1","NULL","3188","054","3188"
"054K-M.C.NIEVE.CTRO","0","NULL","3189","054","3189"
"055A CENTRO-C.MOLINA","0","NULL","2692","055","2692"
"055A CENTRO-C.MOLINA","0","NULL","3282","055","3282"
"055A CENTRO-C.MOLINA","0","NO APARECÍA EN EL EXCEL DE GABRIEL","3318","055","3318"
"055B-CTRO.COL SEG.","0","NULL","3267","055","3267"
"055B-CTRO.COL SEG.","0","NO APARECÍA EN EL EXCEL DE GABRIEL","3320","055","3320"
"055B-CTRO.COL SEG.","0","NO APARECÍA EN EL EXCEL DE GABRIEL","3322","055","3322"
"055C CENTRO-C.SEG.","0","NULL","2487","055","2487"
"055C CENTRO-C.SEG.","0","NULL","3324","055","3324"
"055C CENTRO-C.SEG.","0","NULL","3326","055","3326"
"055D-COLONIA H.SAUCE","0","NULL","3328","055","3328"
"055D-COLONIA H.SAUCE","0","NULL","3330","055","3330"
"055D-COLONIA H.SAUCE","0","NULL","3332","055","3332"
"055F MUN-B CARMEN","1","NULL","2715","055","2715"
"055F MUN-B CARMEN","1","NULL","2499","055","2499"
"055F MUN-B CARMEN","1","NULL","2708","055","2708"
"055G C.SEG-HS-CARMEN","0","NULL","2818","055","2818"
"055G C.SEG-HS-CARMEN","0","NULL","2724","055","2724"
"055G C.SEG-HS-CARMEN","0","NULL","2508","055","2508"
"055H C.MOLINA-CENTRO","0","NULL","2510","055","2510"
"055H C.MOLINA-CENTRO","1","NULL","2862","055","2862"
"055H C.MOLINA-CENTRO","0","NULL","2822","055","2822"
"055H C.MOLINA-CENTRO","1","NULL","2824","055","2824"
"055H C.MOLINA-CTRO ","1","NULL","3194","055","3194"
"055I BERM-CTRO-GOB","1","NULL","2878","055","2878"
"055I BERM-CTRO-GOB","0","NULL","2879","055","2879"
"055I BERM-CTRO-GOB","1","NULL","2886","055","2886"
"055I BERM-CTRO-GOB","0","NULL","2888","055","2888"
"055I BERM-CTRO-GOB","1","NULL","3198","055","3198"
"055I BERM-CTRO-GOB","0","NULL","3221","055","3221"
