"route_id","route_short_name","route_type","route_desc"
"084","084","Bus","084 Minetti"
"084","084","Bus","084-Minetti  "
"084","084","Bus","084 Minetti"
"086","086","Bus","086-Espejo Casa Gob."
"086","086","Bus","086-Espejo Casa Gob."
"086","086","Bus","086-Espejo Casa Gob."
"086","086","Bus","086-Espejo Casa Gob."
"087","087","Bus","087-Municip.Pza. C/G"
"087","087","Bus","087-Municip.Pza. C/G"
"087","087","Bus","087-Municip.Pza. C/G"
"087","087","Bus","087-Municip.Pza. C/G"
"087","087","Bus","087 Hosp. Carrillo"
"087","087","Bus","087 Hosp. Carrillo"
"087","087","Bus","087-Municip.Salta"
"087","087","Bus","087-Municip.Salta"
"087","087","Bus","087 Municip.x Salta"
"087","087","Bus","087-Municip.Salta"
"087","087","Bus","087-Municip.Salta"
"088","088","Bus","088-Shopping - Notti"
"088","088","Bus","088 Shopping - Notti"
"091","091","Bus","091A S.Mart SC.Gob"
"091","091","Bus","091A S.Mart.SC.Gob"
"091","091","Bus","091A S.MART-C.GOB"
"091","091","Bus","091A S.Mart C/Gob"
"091","091","Bus","091B Ba S Mar NOTT"
"091","091","Bus","091B S MAR NOTT C8"
"091","091","Bus","091B BSMAR NOTTI"
"091","091","Bus","091B S MAR NOTTI "
"091","091","Bus","091B VIAJ UNC S M"
"091","091","Bus","091B UNC VIAJANTES"
"092","092","Bus","092A Ba. MUNICIP"
"092","092","Bus","092A Ba MUNICIP "
"092","092","Bus","092A Ba.MUN PELUQ"
"092","092","Bus","092A Ba. PELUQ "
"092","092","Bus","092A Ba. MUNI NOTT"
"092","092","Bus","092A Ba.MUNI NOTTI"
"092","092","Bus","092B B MUN INF UNC"
"092","092","Bus","092B MUNI HOSP UNC"
"092","092","Bus","092B INFAN MUNIC"
"092","092","Bus","092B MUNIC INFANT"
"092","092","Bus","092EX EXPR RECONQ"
"092","092","Bus","092EX EXPR RECONQ"
"092","092","Bus","092B UNC LIC AGRIC"
"092","092","Bus","092B LIC UNC MUNI"
"092","092","Bus","ESC CHAMPAGNAT VTA"
"092","092","Bus","092ES ESC CHAMPA IDA"
"092","092","Bus","092EX MUNIC S/C.GOB"
"092","092","Bus","092EX RECONQ S/CG"
"092","092","Bus","092ES ESC PAROIS"
"092","092","Bus","092ES ESC PAROIS VTA"
"092","092","Bus","092ES ESC PAROIS VTA"
"092","092","Bus","092ES ESC PAROIS IDA"
"093","093","Bus","093 CEMENT VIAJAN"
"093","093","Bus","093 CEMENT VIAJAN"
"093","093","Bus","093 CEMENT C/CGOB"
"093","093","Bus","093  VIAJANT C/GOB"
"093","093","Bus","093 CEM-MANZOTTI"
"093","093","Bus","093 ESC. MANZOTTI"
"093","093","Bus","093ES CEMEN MANZO "
"093","093","Bus","093ES ESC MANZO VIAJ"
"094","094","Bus","094 INFANTA S CG"
"094","094","Bus","094 BARRIO INFANTA "
"094","094","Bus","094 INFANTA C/C GOB"
"094","094","Bus","094 INFANTA C GOB"
"101","101","Bus","101 CADORE-CTRO-CGO"
"101","101","Bus","101 CENTRO  B CADORE"
"101","101","Bus","101 CADORE CENTRO"
"101","101","Bus","101 CENTRO-B CADORE"
"102","102","Bus","102 S.CAYET-CG-HOSP"
"102","102","Bus","102 CAYE-6SEC-CG HOS"
"102","102","Bus","102 6ta SECC H LAGO "
"102","102","Bus","102 6ta DORREGO"
"103","103","Bus","103 Naza-UNC-liceo"
"103","103","Bus","103 NAZA-UNC-L.AGRI"
"103","103","Bus","103 NAZ-UNC-JBJUS-LI"
"103","103","Bus","103 NAZ-UNC-JBJUS-LI"
"103","103","Bus","103 NA-QI-UNI-UNC-LI"
"103","103","Bus","103 NA-QI-UNI-UNC-LI"
"103","103","Bus","103 NAZ-S/UNC X BARR"
"103","103","Bus","103 NAZ-S/UNC X BARR"
"103","103","Bus","103 NA-S/UNC X JBJUS"
"103","103","Bus","103 NA-S/UNC X JBJUS"
"103","103","Bus","103 NA-QUI-DAD S/UNC"
"103","103","Bus","103 NA-QUI-DAD.S/UNC"
"103","103","Bus","103 NA-QUI-UNC S/DAD"
"103","103","Bus","103 NA-QUI-UNC S/DAD"
"103","103","Bus","103 NA-UNC X BARR-LI"
"103","103","Bus","103 NA-UNC X BARR-LI"
"103","103","Bus","103 NA-UNCxJBJ-LI SC"
"103","103","Bus","103 NA-UNCxJBJ-LI.SC"
"104","104","Bus","104 UNIMEV-BANC CG"
"104","104","Bus","104 BANCAR CG UNIMEV"
"104","104","Bus","104 UNIMEV BANC S CG"
"104","104","Bus","104 UNIMEV-BANC-S/CG"
"111","111","Bus","111 C.HIPICO-E.G.B."
"111","111","Bus","111 FAV-UNC-H.CTRAL"
"111","111","Bus","111 C.HIP-EGB-B OLIV"
"111","111","Bus","111 CTRO-LH-H.CTRAL"
"111","111","Bus","111C HIPICO.OLIVARES"
"111","111","Bus","111 CTRO-LH-xH.CTRAL"
"114","114","Bus","114-115 SANID CHALL"
"114","114","Bus","114-115 CHALLAO CTRO"
"114","114","Bus","114SDAD.CHALL.S.ISID"
"114","114","Bus","114SDAD.CTRO"
"116","116","Bus","116-B.Matheu-UNC-Zoo"
"116","116","Bus","116-B.Mat.-UNC-Zoo"
"116","116","Bus","116-B.Mat.-UNC-Zoo"
"116","116","Bus","116-B.Mat.-UNC-Zoo"
"121","121","Bus","121 B La Glo x R.P."
"121","121","Bus","121 B La Gloria x RP"
"121","121","Bus","121 9Jul-Als-C.IMPSA"
"121","121","Bus","121 B LGLOR-9JUL-ALS"
"122","122","Bus","122 B LA GLO-P.OLIVE"
"122","122","Bus","122 B LA GLO-P.OLIVE"
"123","123","Bus","123 B ANT. GC CTRO"
"123","123","Bus","123 B ANT PLA G/CRUZ"
"124","124","Bus","124 DIRECTO ACC SUR"
"124","124","Bus","124 LA GLOR ACC SUR"
"124","124","Bus","124 B L.Glor-Dir-Cos"
"124","124","Bus","124 B L.Glo-Dir-Cost"
"125","125","Bus","125 B LA GLO V NUEVA"
"125","125","Bus","125 V NUE LA GLORIA"
"131","131","Bus","131 B VICT ACC.NOR"
"131","131","Bus","131B VICT ACC.NOR"
"131","131","Bus","131A BORB-CTRO X ACC"
"131","131","Bus","131A BORB X ACC"
"131","131","Bus","131A BORB X ACC"
"131","131","Bus","131B CUYAN X ACC N"
"131","131","Bus","131B CUYAN X ACC N"
"131","131","Bus","131B CUYANITA BORBO"
"131","131","Bus","131B CUYANITA BORBO"
"132","132","Bus","132 B VIC PZA LS HS"
"132","132","Bus","132 B VIC PZA LS HS"
"133","133","Bus","133A B VICT X MAIPU"
"133","133","Bus","133A B VICT X MAIPU"
"133","133","Bus","133A B VICT C/GOB"
"133","133","Bus","133A B VIC X MPU C.G"
"133","133","Bus","133A B VICT X ZAPATA"
"133","133","Bus","133A B VIC. X ZAPATA"
"133","133","Bus","133B BORBO X C MAIPU"
"133","133","Bus","133B BORB X C MAIPU"
"133","133","Bus","133B BORB X MAIPU CG"
"133","133","Bus","133B BORB X MAIPU CG"
"133","133","Bus","133B BORB MPU CUY"
"133","133","Bus","133B BORB A CUY"
"133","133","Bus","133C ALG CTRO MPU V"
"133","133","Bus","133C ALG CTRO MPO V"
"133","133","Bus","133D VIC CEN MPU AL"
"133","133","Bus","133D VI CTRO MPU ALG"
"133","133","Bus","133D VIC ALG ZAPATA"
"133","133","Bus","133D VIC ALG ZAP"
"133","133","Bus","133C ALG ABA VICT CG"
"133","133","Bus","133C ALG VIC CG MPU"
"133","133","Bus","133E BORBOLL.ZAPATA"
"133","133","Bus","133E BORBO X ZAPATA"
"133","133","Bus","133D VIC LA PEGA"
"133","133","Bus","133D CENT ALG PEGA"
"133","133","Bus","133C ALG PEGA CTRO "
"133","133","Bus","133C ALG PEGA CTRO"
"151","151","Bus","151-MPU-MZA LIN/TERR"
"151","151","Bus","151-MZA-MAIPU TERR"
"151","151","Bus","151 MPU PTE OLIV MZA"
"151","151","Bus","151 MZA PTE OLI MPU"
"151","151","Bus","151-PTE OLIVE C GOB"
"151","151","Bus","151-MZA P OLIVE MPU"
"151","151","Bus","151 ESCOL VIEYTES"
"151","151","Bus","151 ESCOL VIEYTES"
"151","151","Bus","ESC.VIRG CAR DE CUYO"
"151","151","Bus","ESC.VIRG CARM CUYO"
"151","151","Bus","ESC.VIEYTES TARDE"
"151","151","Bus","ESC IVCC TARDE"
"151","151","Bus","151 ESCOL IVCC "
"151","151","Bus","151 ESCOL IVCC "
"151","151","Bus","ESCOLAR VIEYTES"
"151","151","Bus","151-MPU BDO PTE OL"
"151","151","Bus","151-MZA PTE O BDO MP"
"152","152","Bus","152MZA-AC S-TERR-MPU"
"152","152","Bus","152MPU MZA TER ACC S"
"153","153","Bus","153 MAIPU-MZA x MAZA"
"153","153","Bus","153 MZA-MAIPU x MAZA"
"153","153","Bus","153 MPU-MZA-CGOB-MAZ"
"153","153","Bus","153 MAIPU-MZA-MAZA"
"155","155","Bus","155 MPU MZA EXP.MAZA"
"155","155","Bus","155 MZA-MPU EXP.MAZA"
"161","161","Bus","161-MAIP-EXP.URQ-MZA"
"161","161","Bus","161-MZA-EXP.URQ-MAIP"
"161","161","Bus","161 MPU-EXP.STEA-MZA"
"161","161","Bus","161-MZ-EXP.STEA-MAIP"
"162","162","Bus","162 MAIP H ITAL MZA"
"162","162","Bus","162A MENDOZA MAIPU "
"162","162","Bus","162-T.SOSA-HOSP.ITAL"
"162","162","Bus","162A-H.ITAL.B.T.SOSA"
"162","162","Bus","162-MAL T SOSA MZA"
"162","162","Bus","162C-MZA-TROP.S-MAL"
"162","162","Bus","162-C.GOB-REF.TERR"
"162","162","Bus","162-REF.TERR-C.GOB."
"162","162","Bus","162-MPU-MZA-C.GOB"
"162","162","Bus","162B MENDOZA MAIPU"
"162","162","Bus","162 PESCARA H IT MZA"
"162","162","Bus","162B PESCARA MAIPU"
"162","162","Bus","162-BOEDO MAIPU"
"162","162","Bus","162 M Y T SOSA MZA"
"162","162","Bus","162C MZA MAL T.S.MPU"
"162","162","Bus","162C Ref.CG C Rioja"
"162","162","Bus","162C Ref.CG C Rioja"
"162","162","Bus","162 BOEDO C.GOB MZA"
"162","162","Bus","162 BOEDO C-GOB MPU"
"163","163","Bus","163 MAIPU-MZA P.NAZ"
"163","163","Bus","163 MZA-MAIPU X NAZ"
"163","163","Bus","163-NAZARENO-CENTRO"
"163","163","Bus","163 NAZARENO-VUELTA"
"165","165","Bus","ESC COMERCIO COQUIM"
"165","165","Bus","ESC COMERCIO S EDUAR"
"165","165","Bus","165 LOC COQ MPU"
"165","165","Bus","165 MPU COQUIMBITO"
"165","165","Bus","ESC.GABRIELLI(maña)"
"165","165","Bus","ESC.GABRIELLI"
"165","165","Bus","ESC GABRIELLI CORTO"
"165","165","Bus","165ES Esc. Gabriell"
"165","165","Bus","LOCAL ESC.GABR LAR"
"165","165","Bus","ESCOLAR GABRIELI"
"165","165","Bus","165 coq. san eduardo"
"165","165","Bus","LOCAL COQUIM LUZUR"
"166","166","Bus","166 UTMA S CAY P.VA"
"166","166","Bus","166 UTMA-S.CAY-P.VAR"
"166","166","Bus","166 UTMA-S.CAY-LAMA"
"166","166","Bus","166 UTMA-S.CAY-LAMA"
"166","166","Bus","163 UTMA ANTAR"
"166","166","Bus","166 B ANTA-CTRO-DORR"
"166","166","Bus","166 NAZ-CG X DORR"
"166","166","Bus","166 NAZAR CG XDORR"
"171","171","Bus","171 MPU.COQ.R.CR.MZA"
"171","171","Bus","171 MPU.COQ.R.CRZ.MZ"
"171","171","Bus","171 Mpu.R.Cruz-Mza"
"171","171","Bus","171 Maipu.R.Cruz-Mdz"
"171","171","Bus","171 V.VIÑ.GUTIERR.LC"
"171","171","Bus","171 Z.ALCOH.GUT.MPU"
"171","171","Bus","171 MPU.RPEÑA.MDZ"
"171","171","Bus","171 R.CRUZ GUT.MAIPU"
"171","171","Bus","171 Maipú-R.Peña-Mdz"
"171","171","Bus","171 Mdz-R.Cruz-MPU"
"171","171","Bus","171 R.CRUZ V.VIÑEDO"
